,time_seconds,time_seconds_delta,Timestamp,Data,X,Y,Z,Gmag,Gmag_norm,Q3 threshold,Std threshold,HO threshold
62,68149.877,0.09100000000034925,18:55:49:877,0000333013 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
63,68149.966,0.08900000000721775,18:55:49:966,0000333101 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
64,68150.055,0.08899999999266583,18:55:50:055,0000333191 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
65,68150.147,0.09200000000419095,18:55:50:147,0000333281 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
66,68150.236,0.08900000000721775,18:55:50:236,0000333371 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
67,68150.325,0.08899999999266583,18:55:50:325,0000333461 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
68,68150.417,0.09200000000419095,18:55:50:417,0000333551 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
69,68150.505,0.08800000000337604,18:55:50:505,0000333641 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
70,68150.596,0.09100000000034925,18:55:50:596,0000333731 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
71,68150.685,0.08899999999266583,18:55:50:685,0000333821 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
72,68150.78,0.09500000000116415,18:55:50:780,0000333911 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
73,68150.874,0.09399999999732245,18:55:50:874,0000334001 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
74,68151.003,0.1290000000008149,18:55:51:003,0000334091 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
75,68151.09,0.08699999999953434,18:55:51:090,0000334226 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
76,68151.181,0.09100000000034925,18:55:51:181,0000334316 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
77,68151.273,0.09200000000419095,18:55:51:273,0000334406 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
78,68151.362,0.08899999999266583,18:55:51:362,0000334496 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
79,68151.452,0.09000000001105946,18:55:51:452,0000334586 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
80,68151.54,0.08799999998882413,18:55:51:540,0000334676 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
81,68151.634,0.09400000001187436,18:55:51:634,0000334766 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
82,68151.728,0.09399999999732245,18:55:51:728,0000334856 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
83,68151.812,0.08400000000256114,18:55:51:812,0000334946 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
84,68151.901,0.08899999999266583,18:55:51:901,0000335036 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
85,68151.993,0.09200000000419095,18:55:51:993,0000335126 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
86,68152.082,0.08899999999266583,18:55:52:082,0000335216 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
87,68152.17,0.08800000000337604,18:55:52:170,0000335306 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
88,68152.262,0.09200000000419095,18:55:52:262,0000335396 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
89,68152.35,0.08800000000337604,18:55:52:350,0000335486 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
90,68152.443,0.09299999999348074,18:55:52:443,0000335576 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
91,68152.533,0.08999999999650754,18:55:52:533,0000335666 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
92,68152.621,0.08800000000337604,18:55:52:621,0000335756 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
93,68152.713,0.09200000000419095,18:55:52:713,0000335846 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
94,68152.799,0.08599999999569263,18:55:52:799,0000335936 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
95,68152.89,0.09100000000034925,18:55:52:890,0000336026 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
96,68152.979,0.08900000000721775,18:55:52:979,0000336116 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
97,68153.073,0.09399999999732245,18:55:53:073,0000336206 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
98,68153.159,0.08599999999569263,18:55:53:159,0000336296 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
99,68153.252,0.09299999999348074,18:55:53:252,0000336386 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
100,68153.341,0.08900000000721775,18:55:53:341,0000336476 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
101,68153.432,0.09100000000034925,18:55:53:432,0000336566 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
102,68153.523,0.09100000000034925,18:55:53:523,0000336656 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
103,68153.613,0.08999999999650754,18:55:53:613,0000336746 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
104,68153.75,0.13700000000244472,18:55:53:750,0000336836 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
105,68153.835,0.08500000000640284,18:55:53:835,0000336971 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
106,68154.015,0.17999999999301508,18:55:54:015,0000337151 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
107,68154.106,0.09100000000034925,18:55:54:106,0000337241 [app] INFO: GYRO: ,0.351,0.059,-0.273,0.4485654913164855,0.01715244082630356,Normal data,Normal data,Normal data
