Timestamp,Mode,Data,X,Y,Z
18:54:18:893,RX,0000242022 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:18:981,RX,0000242112 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:19:069,RX,0000242202 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:19:248,RX,0000242292 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:19:334,RX,0000242472 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:19:427,RX,0000242562 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:19:517,RX,0000242652 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:19:606,RX,0000242742 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:19:700,RX,0000242832 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:19:787,RX,0000242922 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:19:923,RX,0000243013 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:20:011,RX,0000243147 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:20:099,RX,0000243237 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:20:193,RX,0000243327 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:20:328,RX,0000243417 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:20:418,RX,0000243552 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:20:550,RX,0000243642 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:20:955,RX,0000243777 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:21:049,RX,0000244182 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:21:139,RX,0000244272 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:21:227,RX,0000244362 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:21:363,RX,0000244452 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:21:540,RX,0000244587 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:21:765,RX,0000244767 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:21:857,RX,0000244992 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:22:125,RX,0000245082 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:22:308,RX,0000245352 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:22:447,RX,0000245532 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:22:576,RX,0000245667 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:22:709,RX,0000245802 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:22:801,RX,0000245937 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:23:072,RX,0000246027 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:23:160,RX,0000246297 [app] INFO: GYRO: ,3.959,5.661,-1.767
18:54:23:339,RX,0000246387 [app] INFO: GYRO: ,3.959,5.661,-1.767
