Time,X,Y,Z,X_f,Y_f,Z_f
3038289,32,96,-96,-34.692932,4.765141,-103.653343
3038387,32,0,-32,-34.475441,4.753086,-103.264481
3038484,0,0,0,-34.363232,4.74109,-102.706291
3038582,-32,0,64,-34.35556,4.729154,-101.808174
3038679,-32,64,32,-34.347939,4.878015,-101.088776
3038972,-64,-64,-32,-34.427937,4.841343,-99.987854
3039069,-32,96,32,-34.420174,5.068837,-99.288513
3039167,0,32,-64,-34.310474,5.136001,-99.102036
3039264,-64,64,-96,-34.404861,5.282515,-99.085716
3039362,-32,-64,160,-34.397236,5.110295,-97.729889
3039459,-64,-64,32,-34.49081,4.938692,-97.051048
3039557,32,0,64,-34.28117,4.926443,-96.210533
3039654,32,0,160,-34.072571,4.914253,-94.876068
3039752,-32,0,0,-34.066059,4.902122,-94.381966
3039849,32,-96,64,-33.859158,4.65363,-93.559853
3039947,0,32,32,-33.753311,4.720946,-92.909431
3040044,32,0,0,-33.548264,4.709347,-92.429428
3040142,128,0,96,-33.045391,4.697803,-91.459152
3040239,32,-128,0,-32.842896,4.373313,-90.988861
3040337,0,32,96,-32.740833,4.440883,-90.030525
3040434,128,32,0,-32.242546,4.508161,-89.569756
3040532,32,0,32,-32.043377,4.497176,-88.949631
3040629,0,-32,-128,-31.944214,4.408455,-89.148293
3040727,0,32,0,-31.8456,4.475414,-88.696701
3040824,0,-32,-64,-31.747532,4.387062,-88.572006
3040922,-64,0,-96,-31.846611,4.376453,-88.609337
3041019,-64,-64,-96,-31.945147,4.211495,-88.646301
3041117,0,0,-160,-31.847485,4.201345,-89.001465
3041214,0,-32,-64,-31.750357,4.114303,-88.877457
3041312,-64,-96,0,-31.848475,3.873993,-88.438591
3041409,32,0,32,-31.654684,3.864698,-87.845757
3041507,-64,-32,-32,-31.752686,3.778844,-87.571556
3041604,64,32,0,-31.463261,3.846287,-87.143211
3041702,32,0,32,-31.271646,3.837112,-86.562263
3041799,0,32,-64,-31.177393,3.904139,-86.452522
3041897,0,-32,-32,-31.083649,3.818843,-86.188835
3041994,-32,-64,0,-31.086397,3.657995,-85.773026
3042092,-64,-32,0,-31.184834,3.57351,-85.360497
3042189,-32,-64,32,-31.187265,3.413672,-84.797791
3042287,32,64,0,-30.999285,3.556838,-84.392212
3042384,-64,-32,128,-31.097292,3.472914,-83.379486
3042482,32,32,96,-30.910334,3.540134,-82.524628
3042579,-96,-32,-160,-31.102869,3.456537,-82.89341
3042677,-96,-64,-32,-31.294518,3.298127,-82.651932
3042774,160,-96,32,-30.730541,3.065175,-82.109962
3042800,128,64,96,-30.078402,3.051023,-80.736549
3043067,0,-32,0,-29.989779,2.968999,-80.357201
3043164,64,32,64,-29.713495,3.036824,-79.681007
3043262,0,32,-64,-29.626245,3.104373,-79.607689
3043359,0,-32,32,-29.539455,3.022645,-79.088104
3043506,-32,32,32,-29.546646,3.089998,-78.572197
3043603,0,32,-64,-29.460539,3.157079,-78.504684
3043701,0,32,96,-29.37488,3.223887,-77.699715
3043798,-64,-32,64,-29.475321,3.142441,-77.046814
3043944,0,0,0,-29.390007,3.135186,-76.692444
3044042,-128,32,32,-29.67477,3.201673,-76.194046
3044188,-32,64,64,-29.681479,3.341472,-75.55275
3044286,-64,-32,64,-29.78021,3.260296,-74.91552
3044383,0,-64,0,-29.694721,3.106051,-74.574043
3044481,-32,32,64,-29.701324,3.172249,-73.944336
3044578,-96,-96,96,-29.89068,2.945426,-73.173447
3044676,0,-32,64,-29.805441,2.865525,-72.551926
3044773,96,-96,32,-29.447485,2.639832,-72.079056
3044871,32,-32,-32,-29.272705,2.560779,-71.898224
3044968,-64,-128,32,-29.371323,2.263296,-71.43119
3045066,64,96,64,-29.106737,2.476945,-70.823875
3045163,64,64,32,-28.843157,2.617114,-70.363602
3045261,-96,0,96,-29.033091,2.611158,-69.620712
3050745,128,32,0,-0.522131,0.726184,-2.036151
3050844,64,-32,-64,-0.440591,0.691136,-2.163121
3050942,128,0,32,-0.278271,0.690396,-2.093174
3051039,-32,96,32,-0.318412,0.792318,-2.023465
3051137,-64,0,-96,-0.398945,0.79147,-2.215352
3051234,-32,32,32,-0.438909,0.824837,-2.145501
3051332,32,0,-64,-0.397912,0.823955,-2.271607
3051429,0,-96,-32,-0.397409,0.720591,-2.332167
3051527,-64,64,-32,-0.477642,0.788203,-2.392517
